Logradouro/Nome:;Bairro/Distrito:;Localidade/UF:;CEP:
Rua Banabui£ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-392
Rua BANEBÿ;CISÿ;Feira de Santana/BA;44010-820
Rua BarÆo de Cotegipe - de 1761/1762 ao fimÿ;Queimadinhaÿ;Feira de Santana/BA;44050-012
Rua BeiquimÆoÿ;Asa Brancaÿ;Feira de Santana/BA;44044-209
Rua Beira Marÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-444
Rua Bel‚mÿ;Centroÿ;Feira de Santana/BA;44002-700
Rua Belenenseÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-754
Rua Bernardo Torres Coelhoÿ;35§ BIÿ;Feira de Santana/BA;44094-730
Rua Bitƒniaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-788
Rua Blumenauÿ;Asa Brancaÿ;Feira de Santana/BA;44044-204
Rua Boa Esperan‡aÿ;Avi rioÿ;Feira de Santana/BA;44096-614
Rua Boa Esperan‡aÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-390
Rua Boa Vistaÿ;Centroÿ;Feira de Santana/BA;44002-678
Rua Bogot ÿ;Asa Brancaÿ;Feira de Santana/BA;44044-184
Rua Boitubaÿ;Bras¡liaÿ;Feira de Santana/BA;44088-534
Rua Boituvaÿ;Bras¡liaÿ;Feira de Santana/BA;44088-528
Rua Bom Despachoÿ;Mangabeiraÿ;Feira de Santana/BA;44056-708
Rua Bom Jesusÿ;Mangabeiraÿ;Feira de Santana/BA;44056-706
Rua Bom Retiroÿ;Mangabeiraÿ;Feira de Santana/BA;44056-710
Rua Bondadeÿ;Mangabeiraÿ;Feira de Santana/BA;44057-010
Rua Bonfin¢polisÿ;Mangabeiraÿ;Feira de Santana/BA;44056-702
Rua Borraz¢polisÿ;Mangabeiraÿ;Feira de Santana/BA;44056-692
Rua Bossorocaÿ;Bras¡liaÿ;Feira de Santana/BA;44088-540
Rua Botelhosÿ;Bras¡liaÿ;Feira de Santana/BA;44088-516
Rua Bra‡o Forteÿ;Asa Brancaÿ;Feira de Santana/BA;44046-800
Rua Bragan‡aÿ;Bras¡liaÿ;Feira de Santana/BA;44088-522
Rua Brasilƒndiaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-696
Rua Bras¡liaÿ;Campo Limpoÿ;Feira de Santana/BA;44032-052
Rua Bra£naÿ;Calumbiÿ;Feira de Santana/BA;44009-746
Rua C (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-514
Rua C (Cj W FalcÆo)ÿ;Queimadinhaÿ;Feira de Santana/BA;44050-204
Rua C (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-096
Rua C (Lot Jd das Oliveiras)ÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-428
Rua C (Lot Tangar )ÿ;Gabrielaÿ;Feira de Santana/BA;44030-075
Rua Cabu‡uÿ;Centroÿ;Feira de Santana/BA;44002-788
Rua Cachoeira de Goi sÿ;Avi rioÿ;Feira de Santana/BA;44095-106
Rua Cachoeira do Matoÿ;Avi rioÿ;Feira de Santana/BA;44095-112
Rua Cachoeira do Solÿ;Avi rioÿ;Feira de Santana/BA;44095-118
Rua Cachoeira Paulistaÿ;Avi rioÿ;Feira de Santana/BA;44095-094
Rua Cachoeirinhaÿ;Avi rioÿ;Feira de Santana/BA;44095-036
Rua Cadete do R¡timoÿ;Centroÿ;Feira de Santana/BA;44002-834
Rua Cafarnaumÿ;Mangabeiraÿ;Feira de Santana/BA;44056-419
Rua Cairuÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-264
Rua Camamuÿ;Mangabeiraÿ;Feira de Santana/BA;44056-316
Rua Camaratubaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-334
Rua Campinorteÿ;Mangabeiraÿ;Feira de Santana/BA;44056-320
Rua Campo Floridoÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-366
Rua Campo Grandeÿ;Centroÿ;Feira de Santana/BA;44002-676
Rua Campo Grande - de 456/457 ao fimÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-556
Rua CanaÆÿ;Campo Limpoÿ;Feira de Santana/BA;44032-022
Rua Canavieirasÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-080
Rua Cara¡bas - lado parÿ;Gabrielaÿ;Feira de Santana/BA;44030-545
Rua Caravelasÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-128
Rua Caridadeÿ;Mangabeiraÿ;Feira de Santana/BA;44057-002
Rua Carlos Chagasÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-646
Rua Carlos Valadares - de 226 a 606 - lado parÿ;Queimadinhaÿ;Feira de Santana/BA;44050-006
Rua Carlos Valadares - de 608 a 984 - lado parÿ;Queimadinhaÿ;Feira de Santana/BA;44050-084
Rua Carlos Valadares - de 986 ao fim - lado parÿ;Queimadinhaÿ;Feira de Santana/BA;44050-192
Rua Carralhoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-510
Rua CastelÆoÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-544
Rua Castro Alves - at‚ 534 - lado parÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-198
Rua Castro Alves - at‚ 541 - lado ¡mparÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-201
Rua Catol‚ da Rochaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-520
Rua Catorze (Cj L E MagalhÆes)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-418
Rua Caturamaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-704
Rua Cauramaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-530
Rua Cec¡lio Moreira Diogoÿ;Mangabeiraÿ;Feira de Santana/BA;44056-804
Rua Cerqueiraÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-772
Rua Cerquilhoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-768
Rua Cerro Azulÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-760
Rua Cerro Cor ÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-764
Rua Cerro largoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-756
Rua C‚sar Dutra Nogueiraÿ;Bras¡liaÿ;Feira de Santana/BA;44088-546
Rua Chanaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-744
Rua Charletonÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-752
Rua C¡cero Dantasÿ;Ponto Centralÿ;Feira de Santana/BA;44075-105
Rua Cinco (Cj L E MagalhÆes)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-364
Rua Circularÿ;Gabrielaÿ;Feira de Santana/BA;44028-496
Rua Cl udio Manoel da Costaÿ;Ponto Centralÿ;Feira de Santana/BA;44075-125
Rua Cohimÿ;Queimadinhaÿ;Feira de Santana/BA;44050-122
Rua Colbert Martinsÿ;Avi rioÿ;Feira de Santana/BA;44096-662
Rua Colinasÿ;Mangabeiraÿ;Feira de Santana/BA;44056-332
Rua Comandante Almiro - de 1437/1438 ao fimÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-276
