"Logradouro/Nome:,""Bairro/Distrito:"",""Localidade/UF:"",""CEP:"""
"Rua Caurama,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-530"""
"Rua Cecílio Moreira Diogo,""Mangabeira "",""Feira de Santana/BA"",""44056-804"""
"Rua Cerqueira,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-772"""
"Rua Cerquilho,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-768"""
"Rua Cerro Azul,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-760"""
"Rua Cerro Corá,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-764"""
"Rua Cerro largo,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-756"""
"Rua César Dutra Nogueira,""Brasília "",""Feira de Santana/BA"",""44088-546"""
"Rua Chana,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-744"""
"Rua Charleton,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-752"""
"Rua Cícero Dantas,""Ponto Central "",""Feira de Santana/BA"",""44075-105"""
"Rua Cinco (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-364"""
"Rua Circular,""Gabriela "",""Feira de Santana/BA"",""44028-496"""
"Rua Cláudio Manoel da Costa,""Ponto Central "",""Feira de Santana/BA"",""44075-125"""
"Rua Cohim,""Queimadinha "",""Feira de Santana/BA"",""44050-122"""
"Rua Colbert Martins,""Aviário "",""Feira de Santana/BA"",""44096-662"""
"Rua Colinas,""Mangabeira "",""Feira de Santana/BA"",""44056-332"""
"Rua Comandante Almiro - de 1437/1438 ao fim,""Serraria Brasil "",""Feira de Santana/BA"",""44003-276"""
"Rua Cônego Cupertino de Lacerda - até 898/899,""Serraria Brasil "",""Feira de Santana/BA"",""44003-210"""
"Rua Cordeirópolis,""Mangabeira "",""Feira de Santana/BA"",""44056-340"""
"Rua Coromandel,""Brasília "",""Feira de Santana/BA"",""44088-558"""
"Rua Coronel Ezequiel,""Brasília "",""Feira de Santana/BA"",""44088-588"""
