"Logradouro/Nome:,""Bairro/Distrito:"",""Localidade/UF:"",""CEP:"""
"1ª Travessa Rio Fundo,""Brasília "",""Feira de Santana/BA"",""44088-415"""
"1ª Travessa Rio Itapicuru,""Brasília "",""Feira de Santana/BA"",""44088-434"""
"1ª Travessa Tuparetama,""Parque Ipé "",""Feira de Santana/BA"",""44054-714"""
"2ª Travessa Amaralina,""Pampalona "",""Feira de Santana/BA"",""44031-595"""
"2ª Travessa Boa Esperança,""Aviário "",""Feira de Santana/BA"",""44096-780"""
"2ª Travessa Canavieiras,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-096"""
"2ª Travessa Doutor João Evangelista,""Centro "",""Feira de Santana/BA"",""44002-852"""
"2ª Travessa Francelino Matos,""Serraria Brasil "",""Feira de Santana/BA"",""44003-320"""
"2ª Travessa Ipirá,""Centro "",""Feira de Santana/BA"",""44002-804"""
"2ª Travessa José Paulo da Silva,""Calumbi "",""Feira de Santana/BA"",""44008-890"""
"2ª Travessa Pamponet,""Tomba "",""Feira de Santana/BA"",""44090-022"""
"2ª Travessa Quito,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-700"""
"2ª Travessa Rio Fundo,""Brasília "",""Feira de Santana/BA"",""44088-416"""
"2ª Travessa Rio Itapicuru,""Brasília "",""Feira de Santana/BA"",""44088-436"""
"2ª Travessa Soares,""Aviário "",""Feira de Santana/BA"",""44095-018"""
"2ª Travessa Tuparetama,""Parque Ipé "",""Feira de Santana/BA"",""44054-722"""
"3ª Travessa Boa Esperança,""Aviário "",""Feira de Santana/BA"",""44096-774"""
"3ª Travessa Boa Esperança do Sul,""Limoeiro "",""Feira de Santana/BA"",""44097-006"""
"3ª Travessa Doutor João Evangelista,""Centro "",""Feira de Santana/BA"",""44002-856"""
"3ª Travessa Ipirá,""Centro "",""Feira de Santana/BA"",""44002-832"""
"3ª Travessa José Paulo da Silva,""Calumbi "",""Feira de Santana/BA"",""44008-850"""
"3ª Travessa Rio Fundo,""Brasília "",""Feira de Santana/BA"",""44088-417"""
"3ª Travessa Rio Itapicuru,""Brasília "",""Feira de Santana/BA"",""44088-437"""
"4ª Travessa Ipirá,""Centro "",""Feira de Santana/BA"",""44002-800"""
"5ª Travessa Ipirá,""Centro "",""Feira de Santana/BA"",""44002-820"""
"6ª Travessa Ipirá,""Centro "",""Feira de Santana/BA"",""44002-828"""
"7ª Travessa Ipirá,""Centro "",""Feira de Santana/BA"",""44002-792"""
